"* Required Fields","* Campos requeridos"
"Payment with ID %s is unknown","Pago con ID %s desconocido"
"Payment XML Export","Pagos XML Export"
"Pay-Per-Click","Pago-Por-Click"
"Pay-Per-Customer","Pago-Por-Cliente"
"Pay-Per-Lead","Pago-Por-Lead"
"Pay-Per-Lead Newsletter","Pago-Por-Lead Newsletter"
"Pay-Per-Lead Register","Pago-Por-Lead Registrarse"
"Pay-Per-Lead","Pago-Por-Lead"
"Pay-Per-Newsletter","Pago-Por-Newsletter"
"Pay-Per-Sale","Pago-Por-Venta"
"Pay-Per-Sale","Pago-Por-Venta"
"PDF","PDF"
"Pending","Pendiente"
"Pending Period","Periodo pendiente"
"Personal","Personal"
"Personal Information","Información personal"
"Personal settigs","Configuración personal"
"Please select region, state or province","Selecciona estado o provincia"
"Postcode","Código postal"
"Postcode:","Código postal:"
"Preview value may not be accurate","Preview value may not be accurate"
"Price","Precio"
"Product","Producto"
"Product Type","Tipo de producto"
"Products","Productos"
"Publisch","Publicar"
"Publish","publicar"
"Qty","Cantidad"
"Qualifying Groups","Grupos calificados"
"Redirect to","Redirect to"
"Referring Website","página web referente"
"Referring Website Information","Información página web referente"
"Region","Región"
"Region ","Región "
"Region:","Región:"
"Registered Affiliate","Afiliado registrado"
"Registrations","Registraciones"
"Reject","Reject"
"Reject Template","Reject Template"
"Release Status","Release Status"
"Released","Released"
"Root","Root"
"Running","Running"
"Sale","Venta"
"Sale Lifetime","Venta por vida"
"Sale Lifetime (Invert)","Venta por vida (Invert)"
"Sale Lifetime Value (%)","Valor Venta por vida (%)"
"Sales","Ventas"
"Sales Price","Precio venta"
"Salutation","Salutación"
"Salutation:","Salutación:"
"We received your registration. We will verify it and let you know about your status.","Hemos recibido la petición. Vamos a comprobar los datos y en breve te comunicaremos el estado."
"Send","Enviar"
"Send clicks notification","Enviar clicks notification"
"Send Emails To","Enviar Emails a"
"Sender","Remitente"
"Sender email","Email del remitente"
"Sender name","Nombre remitente"
"September","Septiembre"
"Show","Mostrar"
"Snippets","Snippets"
"State/Province","Estado/Provincia"
"Static Image","Imagen estatico"
"Static Image Advertising Details","Detalles del Imagen estatico"
"Static Image Advertising Settings","Configuración del Imagen estatico"
"Statistic","Estadistica"
"Statistics","Estadisticas"
"Status","Estatus"
"Status Change","Estatus cambio"
"Status Sender","Estatus remitente"
"Street","Dirección"
"Street :","Dirección :"
"Street Address","Dirección"
"Submit","Enviar"
"Subscriber (confirmed / unconfirmed)","Subscriber (confirmado / sin confirmar)"
"Telephone","Teléfono"
"Telephone:","Teléfono:"
"Template","Plantilla"
"Terms","Condiciones"
"Test","Test"
"Test Code Snippet","Test Code Snippet"
"Text","Texto"
"Text Advertising Details","Detalles anuncio de texto"
"Text Advertising Settings","Configuración anuncio de texto"
"Time period (min)","Periodo de tiempo (min)"
"Titel","Titulo"
"Title","Titulo"
"Title:","Titulo:"
"To Date","Hasta"
"Total","Total"
"Tracking","Seguimiento"
"Type","Tipo"
"Affiliate'pwds Entity Type","Affiliate's Entity Type"
"Affiliate's Entity Type:","Affiliate's Entity Type:"
"Pending","Pending"
"Unknown","Desconocido"
"Unlimited","Sin limite"
"Update","Update"
"Update at","Update at"
"User Name","Nombre del usuario"
"Validation","Validación"
"Value","Valor"
"Value (%)","Valor (%)"
"Tax ID","Identificación fiscal"
"Tax ID:","Identificación fiscal:"
"Value In","Valor In"
"Value Out","Valor Out"
"Values","Valores"
"Views","Vistas"
"Waiting","esperando"
"XML","XML"
"XML Full","XML Full"
"XML Root Tag","XML Root Tag"
"XML Template","XML Template"
"Year","Año"
"Yes","Si"
"YYYY","aaaa"
"Zip/Postal Code","Código postal"
"You do not have a partner yet?","¿Quieres afiliarte con nosotros?"
"Partner Login","Registro Afiliado"
"This sale was brokered by the affiliate %s (%s, %s)","Esta venta esta generada %s (%s, %s)"
"Referer Setting","Configuración referer"
"Check Referer","Comprobar referer"
"Referers","Referers"
"URL","URL"
"Search Pattern","Search Pattern"
"Allow Direct Link","Permitir enlace directo"
"Add New Referer","Añadir referer nuevo"
"Custom","Custom"
"Resource File","Resource File"
"Resource Height","Altura Resource"
"Resource Width","Anchura Resource"
"Output Template","Output Template"
"Insert Template...","Insertar Template..."
"Insert Variable...","Insertar Variable..."
"Add New Custom Advertising","Add New Custom Advertising"
"Custom Advertising Settings","Custom Advertising Settings"
"Referring Website URL","Referring Website URL"
"Top 5 Advertising","Top 5 Publicidad"
"Top 5 Affiliates","Top 5 Afiliados"
"Top 5 Referring Websites","Top 5 Páginas web asociados"
